airline,destination,price,starting_point,days_after
SpiceJet,Mumbai,5953,Delhi,1
AirAsia,Mumbai,5956,Delhi,1
Vistara,Mumbai,5955,Delhi,1
Vistara,Mumbai,6060,Delhi,1
GO_FIRST,Mumbai,5954,Delhi,1
Indigo,Mumbai,5955,Delhi,1
Air_India,Mumbai,5955,Delhi,1
AirAsia,Mumbai,5949,Delhi,1
Indigo,Mumbai,6165,Delhi,1
Vistara,Mumbai,6690,Delhi,1
Indigo,Mumbai,6585,Delhi,1
AirAsia,Mumbai,8869,Delhi,1
SpiceJet,Mumbai,10260,Delhi,1
Indigo,Mumbai,10470,Delhi,1
GO_FIRST,Mumbai,10575,Delhi,1
Indigo,Mumbai,10838,Delhi,1
Vistara,Mumbai,12150,Delhi,1
Air_India,Mumbai,11900,Delhi,1
SpiceJet,Mumbai,12123,Delhi,1
Air_India,Mumbai,12150,Delhi,1
Air_India,Mumbai,12215,Delhi,1
SpiceJet,Mumbai,12230,Delhi,1
Vistara,Mumbai,12780,Delhi,1
Vistara,Mumbai,12885,Delhi,1
AirAsia,Mumbai,12539,Delhi,1
Air_India,Mumbai,12938,Delhi,1
Air_India,Mumbai,12990,Delhi,1
Air_India,Mumbai,13086,Delhi,1
Indigo,Mumbai,13279,Delhi,1
Vistara,Mumbai,13673,Delhi,1
Air_India,Mumbai,13410,Delhi,1
Vistara,Mumbai,13935,Delhi,1
Vistara,Mumbai,14040,Delhi,1
Vistara,Mumbai,14093,Delhi,1
Indigo,Mumbai,13767,Delhi,1
GO_FIRST,Mumbai,13932,Delhi,1
Vistara,Mumbai,14408,Delhi,1
Air_India,Mumbai,14250,Delhi,1
GO_FIRST,Mumbai,14539,Delhi,1
Vistara,Mumbai,14985,Delhi,1
Air_India,Mumbai,14670,Delhi,1
Air_India,Mumbai,15195,Delhi,1
Vistara,Mumbai,15720,Delhi,1
Vistara,Mumbai,15983,Delhi,1
Indigo,Mumbai,15720,Delhi,1
SpiceJet,Mumbai,15720,Delhi,1
Air_India,Mumbai,16245,Delhi,1
Vistara,Mumbai,16613,Delhi,1
Vistara,Mumbai,16665,Delhi,1
Air_India,Mumbai,16455,Delhi,1
Air_India,Mumbai,16665,Delhi,1
Vistara,Mumbai,17348,Delhi,1
Vistara,Mumbai,17400,Delhi,1
Vistara,Mumbai,17505,Delhi,1
Vistara,Mumbai,17610,Delhi,1
Air_India,Mumbai,17295,Delhi,1
Vistara,Mumbai,17663,Delhi,1
Air_India,Mumbai,18030,Delhi,1
Vistara,Mumbai,18398,Delhi,1
Vistara,Mumbai,18450,Delhi,1
GO_FIRST,Mumbai,18487,Delhi,1
Vistara,Mumbai,18923,Delhi,1
Vistara,Mumbai,19238,Delhi,1
Vistara,Mumbai,19920,Delhi,1
Air_India,Mumbai,19710,Delhi,1
Vistara,Mumbai,20130,Delhi,1
Air_India,Mumbai,19815,Delhi,1
Vistara,Mumbai,21075,Delhi,1
GO_FIRST,Mumbai,21111,Delhi,1
Air_India,Mumbai,23206,Delhi,1
Air_India,Mumbai,24540,Delhi,1
Air_India,Mumbai,25800,Delhi,1
Vistara,Mumbai,27270,Delhi,1
Air_India,Mumbai,29580,Delhi,1
SpiceJet,Mumbai,5953,Delhi,2
Vistara,Mumbai,5955,Delhi,2
Vistara,Mumbai,6060,Delhi,2
GO_FIRST,Mumbai,5954,Delhi,2
Indigo,Mumbai,5955,Delhi,2
SpiceJet,Mumbai,5955,Delhi,2
AirAsia,Mumbai,5956,Delhi,2
Air_India,Mumbai,5955,Delhi,2
AirAsia,Mumbai,5949,Delhi,2
Vistara,Mumbai,6375,Delhi,2
Vistara,Mumbai,7530,Delhi,2
AirAsia,Mumbai,7419,Delhi,2
Indigo,Mumbai,7845,Delhi,2
Indigo,Mumbai,8396,Delhi,2
SpiceJet,Mumbai,8869,Delhi,2
SpiceJet,Mumbai,9183,Delhi,2
Air_India,Mumbai,9840,Delhi,2
Vistara,Mumbai,10566,Delhi,2
Air_India,Mumbai,10303,Delhi,2
Indigo,Mumbai,10523,Delhi,2
Air_India,Mumbai,10523,Delhi,2
Vistara,Mumbai,11048,Delhi,2
Indigo,Mumbai,10838,Delhi,2
Air_India,Mumbai,11100,Delhi,2
Indigo,Mumbai,11326,Delhi,2
Indigo,Mumbai,11678,Delhi,2
Vistara,Mumbai,12150,Delhi,2
Indigo,Mumbai,11814,Delhi,2
Air_India,Mumbai,11900,Delhi,2
Vistara,Mumbai,12308,Delhi,2
Vistara,Mumbai,12570,Delhi,2
Vistara,Mumbai,12623,Delhi,2
Air_India,Mumbai,12298,Delhi,2
Indigo,Mumbai,12302,Delhi,2
Air_India,Mumbai,12465,Delhi,2
Vistara,Mumbai,12990,Delhi,2
Air_India,Mumbai,12675,Delhi,2
SpiceJet,Mumbai,12850,Delhi,2
Air_India,Mumbai,12990,Delhi,2
GO_FIRST,Mumbai,13069,Delhi,2
GO_FIRST,Mumbai,13321,Delhi,2
Vistara,Mumbai,13673,Delhi,2
Vistara,Mumbai,13830,Delhi,2
Vistara,Mumbai,14093,Delhi,2
Air_India,Mumbai,13830,Delhi,2
GO_FIRST,Mumbai,14129,Delhi,2
Vistara,Mumbai,14513,Delhi,2
Air_India,Mumbai,14250,Delhi,2
GO_FIRST,Mumbai,14409,Delhi,2
GO_FIRST,Mumbai,14487,Delhi,2
Vistara,Mumbai,14933,Delhi,2
Vistara,Mumbai,15038,Delhi,2
Vistara,Mumbai,15353,Delhi,2
